City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
10,Cabo San Lucas,MX,89.19,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
12,Rikitea,PF,72.52,overcast clouds,-23.1203,-134.9692,People ThankYou
20,Aripuana,BR,89.38,moderate rain,-9.1667,-60.6333,
28,Lompoc,US,88.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
29,Santa Marta,CO,89.65,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
37,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
39,Fortuna,US,71.92,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
40,Emba,KZ,77.4,overcast clouds,48.8264,58.1442,
48,Beyneu,KZ,80.47,clear sky,45.3167,55.2,NUR
49,Black River,JM,84.49,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
52,Touros,BR,76.55,clear sky,-5.1989,-35.4608,INN NEW HORIZON
53,Huayang,CN,72.68,overcast clouds,34.4155,109.9939,
54,La Ronge,CA,79.05,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
59,Alexandria,EG,80.4,clear sky,31.2156,29.9553,Royal Crown Hotel
61,Belmonte,BR,73.22,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
63,Hithadhoo,MV,81.93,overcast clouds,-0.6,73.0833,Scoop Guest House
65,Hilo,US,89.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
67,Merrill,US,74.17,overcast clouds,45.1805,-89.6835,Prairie Motel
72,Yaan,NG,74.07,light rain,7.3833,8.5667,
74,Wamba,NG,72.43,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
76,Kavaratti,IN,80.55,overcast clouds,10.5669,72.642,Green leaf
77,Saint-Augustin,CA,73.54,overcast clouds,51.226,-58.6502,
80,Butaritari,KI,82.15,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
81,Atuona,PF,77.04,overcast clouds,-9.8,-139.0333,Villa Enata
84,Salinas,US,88.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
85,Ailigandi,PA,82.06,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
86,Sukumo,JP,77.47,overcast clouds,32.9333,132.7333,Sukumojo
87,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
88,Manbij,SY,74.73,clear sky,36.5281,37.9549,Manbej City Hotel
91,Fort Nelson,CA,74.79,shower rain,58.8053,-122.7002,The Fort Nelson Hotel
92,Fukue,JP,82.76,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
97,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
99,Basco,PH,84.94,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
101,Malakal,SS,72.64,light rain,9.5334,31.6605,Nile Palace Hotel
102,Padang,ID,76.69,overcast clouds,-0.9492,100.3543,Mercure Padang
103,Sarangani,PH,81.28,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
104,Pacific Grove,US,80.38,clear sky,36.6177,-121.9166,Lovers Point Inn
107,Mezhova,UA,71.53,clear sky,48.2532,36.7347,
108,Shimoda,JP,78.1,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
114,Kushima,JP,78.46,scattered clouds,31.4583,131.2333,Hanaoka
120,Ahuatempan,MX,82.18,overcast clouds,18.4167,-98.0167,casa de huespedes BRAVO
121,Phonhong,LA,73.99,light rain,18.5007,102.4166,Manyvong Guest House
124,Poso,ID,75.13,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
126,Jieshi,CN,81.41,overcast clouds,22.8134,115.8257,Yuehai Hotel
128,Mengcheng,CN,83.43,overcast clouds,33.2579,116.5655,Jinliang Hotel
135,Porto Murtinho,BR,74.75,light rain,-21.6989,-57.8825,Hotel Pantanal
137,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
138,Muroto,JP,82.83,broken clouds,33.2833,134.15,Oota Ryokan
139,Kenitra,MA,72.36,clear sky,34.261,-6.5802,Bienvenue chez vous
142,Ponta Do Sol,PT,73.71,clear sky,32.6667,-17.1,Hotel do Campo
143,Vao,NC,72.25,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
144,Faanui,PF,76.98,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
148,Kapaa,US,82.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
149,Veraval,IN,81.18,light rain,20.9,70.3667,Lords Inn Somnath
150,Sembakung,ID,71.13,overcast clouds,3.8167,117.25,
152,Eureka,US,73.2,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
154,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
155,Dingzhou,CN,80.71,broken clouds,38.5131,114.9956,宜家时尚宾馆
156,Domoni,KM,73.49,clear sky,-12.2569,44.5319,Al Djadid
157,Vila Franca Do Campo,PT,72.01,light rain,37.7167,-25.4333,Pestana Bahia Praia
158,Taybad,IR,82.09,clear sky,34.74,60.7756,لی پوش jean center
159,Drakino,RU,71.83,scattered clouds,51.139,39.4021,
162,Mitu,CO,83.05,broken clouds,1.1983,-70.1733,
163,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
164,San Ramon,US,84.65,clear sky,37.7799,-121.978,San Ramon Marriott
166,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
167,Najran,SA,84.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
168,Inirida,CO,81.52,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
172,Pontianak,ID,73.38,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
175,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
177,Sao Cristovao,BR,78.71,broken clouds,-11.0147,-37.2064,Hotel deimar
180,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
182,Dingle,PH,73.92,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
184,Praia,CV,82.94,broken clouds,14.9215,-23.5087,LT Aparthotel
185,Mbanza-Ngungu,CD,73.22,few clouds,-5.25,14.8667,Hotel Full Business
186,Calvia,ES,84.92,clear sky,39.5657,2.5062,Castell Son Claret
187,Saint Anthony,US,76.33,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
189,Pangoa,PE,80.78,broken clouds,-12.1167,-73.0,
192,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
197,Harper,LR,73.58,overcast clouds,4.375,-7.7169,Screensaver
198,Alberton,CA,84.33,overcast clouds,46.8168,-64.0654,La Petite France B&B
199,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
200,Katsuura,JP,80.58,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
207,Kuryk,KZ,82.24,overcast clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
208,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
214,Port Blair,IN,80.82,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
224,Kindu,CD,74.7,overcast clouds,-2.95,25.95,Résidence Okanda
227,Merauke,ID,75.65,scattered clouds,-8.4667,140.3333,
228,Dong Hoi,VN,79.09,moderate rain,17.4833,106.6,Nam Long Hotel
