City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Anadyr,64.75,177.4833,54.1,71,0,4.47,RU,2022-08-03 17:38:27
1,Rikitea,-23.1203,-134.9692,72.09,72,82,16.15,PF,2022-08-03 17:38:28
2,Nioro,13.35,-15.75,76.91,88,100,4.94,GM,2022-08-03 17:38:28
3,Ostrovnoy,68.0531,39.5131,57.7,86,95,12.86,RU,2022-08-03 17:37:31
4,Port Lincoln,-34.7333,135.8667,56.43,66,0,22.3,AU,2022-08-03 17:35:32
5,Ushuaia,-54.8,-68.3,40.62,87,75,0.0,AR,2022-08-03 17:34:41
6,Vila Velha,-20.3297,-40.2925,78.75,84,40,13.8,BR,2022-08-03 17:36:08
7,Bluff,-46.6,168.3333,44.8,72,100,15.73,NZ,2022-08-03 17:38:30
8,Kodiak,57.79,-152.4072,62.11,59,0,10.36,US,2022-08-03 17:33:39
9,Nazas,25.2333,-104.1333,89.46,28,50,3.15,MX,2022-08-03 17:38:31
10,Yarmouth,41.7057,-70.2286,86.97,66,0,9.22,US,2022-08-03 17:36:47
11,Hithadhoo,-0.6,73.0833,81.48,72,50,15.86,MV,2022-08-03 17:38:31
12,Albany,42.6001,-73.9662,88.18,47,2,1.7,US,2022-08-03 17:36:38
13,Khatanga,71.9667,102.5,49.64,66,93,7.02,RU,2022-08-03 17:35:50
14,Lebu,-37.6167,-73.65,51.82,73,12,3.65,CL,2022-08-03 17:38:32
15,Atuona,-9.8,-139.0333,77.32,75,0,15.26,PF,2022-08-03 17:35:26
16,Nador,35.174,-2.9287,89.67,62,20,4.61,MA,2022-08-03 17:36:25
17,Yellowknife,62.456,-114.3525,61.32,59,20,4.61,CA,2022-08-03 17:34:50
18,Bambous Virieux,-20.3428,57.7575,70.05,73,75,9.22,MU,2022-08-03 17:38:33
19,East London,-33.0153,27.9116,68.94,60,0,4.61,ZA,2022-08-03 17:38:34
20,Butaritari,3.0707,172.7902,80.83,78,40,14.85,KI,2022-08-03 17:38:34
21,Bengkulu,-3.8004,102.2655,74.8,92,100,3.51,ID,2022-08-03 17:35:04
22,Saint-Philippe,-21.3585,55.7679,69.39,85,60,9.71,RE,2022-08-03 17:35:34
23,Kapaa,22.0752,-159.319,75.52,89,40,12.66,US,2022-08-03 17:38:35
24,Adrar,20.5022,-10.0711,104.11,18,30,8.97,MR,2022-08-03 17:37:31
25,Avarua,-21.2078,-159.775,71.65,56,40,8.05,CK,2022-08-03 17:36:19
26,Mataura,-46.1927,168.8643,44.47,87,100,3.8,NZ,2022-08-03 17:38:36
27,Punta Arenas,-53.15,-70.9167,39.31,87,75,11.5,CL,2022-08-03 17:38:37
28,Longyearbyen,78.2186,15.6401,53.44,71,75,11.5,SJ,2022-08-03 17:38:04
29,Jamestown,42.097,-79.2353,84.94,52,0,9.22,US,2022-08-03 17:35:31
30,Juegang,32.3174,121.1855,86.99,87,0,12.33,CN,2022-08-03 17:38:38
31,Shingu,33.7333,135.9833,78.28,88,32,5.91,JP,2022-08-03 17:38:38
32,Luderitz,-26.6481,15.1594,56.57,86,0,11.14,NA,2022-08-03 17:34:54
33,Zlobin,45.2924,14.6541,81.7,33,20,4.61,HR,2022-08-03 17:38:40
34,Kavaratti,10.5669,72.642,77.83,90,100,32.21,IN,2022-08-03 17:38:40
35,Ulladulla,-35.35,150.4667,56.3,74,43,11.27,AU,2022-08-03 17:38:41
36,Wentzville,38.8114,-90.8529,95.88,63,87,5.01,US,2022-08-03 17:37:59
37,Mar Del Plata,-38.0023,-57.5575,51.1,95,100,9.22,AR,2022-08-03 17:35:45
38,Tasiilaq,65.6145,-37.6368,44.76,73,62,7.74,GL,2022-08-03 17:38:41
39,Vaini,-21.2,-175.2,75.36,94,40,11.5,TO,2022-08-03 17:38:42
40,Castro,-24.7911,-50.0119,76.68,38,0,7.94,BR,2022-08-03 17:36:40
41,Chokurdakh,70.6333,147.9167,48.78,68,100,6.69,RU,2022-08-03 17:35:38
42,San Jose,37.3394,-121.895,85.53,62,20,3.44,US,2022-08-03 17:34:45
43,Provideniya,64.3833,-173.3,52.7,74,46,5.66,RU,2022-08-03 17:34:10
